No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
162,ESRX,Express Scripts Inc.,Healthcare,Health Care Plans,USA,51315.5,28.52,66.17,-0.62%,7106992
163,ESV,Ensco plc,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,11640.94,8.18,49.82,-1.25%,2726906
164,ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National,USA,6537.86,78.14,22.66,0.94%,3306405
165,ETN,Eaton Corporation,Industrial Goods,Diversified Machinery,USA,34811.71,18.75,73.14,0.69%,3201511
166,ETR,Entergy Corporation,Utilities,Electric Utilities,USA,13101.43,18.29,72.96,0.63%,1677118
167,EW,Edwards Lifesciences Corp.,Healthcare,Medical Appliances & Equipment,USA,8664.81,30.08,82.42,1.17%,1005562
168,EXC,Exelon Corporation,Utilities,Diversified Utilities,USA,30894.9,18,35.99,2.74%,14724492
169,EXPD,Expeditors International of Washington Inc.,Services,Air Delivery & Freight Services,USA,8310.22,24.46,41.33,0.22%,1246481
170,EXPE,Expedia Inc.,Services,Lodging,USA,9563.21,44.5,73.87,4.06%,6832963
171,F,Ford Motor Co.,Consumer Goods,Auto Manufacturers - Major,USA,62884.43,9.04,15.91,-1.49%,30634292
172,FAST,Fastenal Company,Services,Industrial Equipment Wholesale,USA,14696.05,32.58,49.52,-1.12%,1802355
173,FB,"Facebook, Inc.",Technology,Internet Information Providers,USA,156782.49,77.41,61.15,2.29%,82262416
174,FCX,Freeport-McMoRan Copper & Gold Inc.,Basic Materials,Copper,USA,35482.81,12.99,34.17,-0.58%,6556611
175,FDO,Family Dollar Stores Inc.,Services,"Discount, Variety Stores",USA,6620.91,17.06,58.17,-0.99%,813488
176,FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,40261.65,25.8,136.24,-0.01%,813037
177,FE,FirstEnergy Corp.,Utilities,Electric Utilities,USA,14223.16,38.07,33.88,0.39%,4513332
178,FFIV,"F5 Networks, Inc.",Technology,Business Software & Services,USA,8049.45,29.48,106.7,1.45%,1634586
179,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,15421.99,32.1,53.61,0.34%,1843727
180,FISV,"Fiserv, Inc.",Services,Business Services,USA,15315.21,24.86,60.91,0.21%,2119609
181,FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,17248.05,10.54,20.35,-1.26%,11313362
182,FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,4868.81,32,34.56,1.53%,959833
183,FLR,Fluor Corporation,Industrial Goods,Heavy Construction,USA,12078.85,18.61,75.54,-0.21%,1412607
184,FLS,Flowserve Corp.,Industrial Goods,Diversified Machinery,USA,10099.25,21.38,73.54,0.67%,810211
185,FMC,FMC Corp.,Basic Materials,Chemicals - Major Diversified,USA,10209.13,22.9,76.72,-0.36%,565718
186,FOSL,"Fossil, Inc.",Consumer Goods,"Recreational Goods, Other",USA,5787.8,16.22,107.54,0.83%,233506
187,FOXA,"Twenty-First Century Fox, Inc.",Services,Entertainment - Diversified,USA,72593.83,14.37,32.47,1.41%,11997514
188,FRX,Forest Laboratories Inc.,Healthcare,Drug Manufacturers - Other,USA,25280.57,160.86,93.3,1.51%,1959083
189,FSLR,"First Solar, Inc.",Technology,Semiconductor - Specialized,USA,6733.05,18.58,67.27,-0.33%,2724931
190,FTI,"FMC Technologies, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,13313.37,25.21,56.47,-0.41%,1612628
191,FTR,Frontier Communications Corporation,Technology,Telecom Services - Domestic,USA,5943.34,53.91,5.93,-0.34%,12776687
192,GAS,AGL Resources Inc.,Utilities,Gas Utilities,USA,6422.92,20.33,53.87,-0.24%,978084
193,GCI,"Gannett Co., Inc.",Services,Publishing - Newspapers,USA,6195.64,18.52,27.23,0.22%,1410033
194,GD,General Dynamics Corp.,Industrial Goods,Aerospace/Defense Products & Services,USA,37635.74,15.4,109.77,0.29%,1880537
195,GE,General Electric Company,Industrial Goods,Diversified Machinery,USA,268369.25,18.85,26.77,-0.45%,25763136
196,GGP,General Growth Properties Inc.,Financial,REIT - Retail,USA,20404.4,79.62,23.09,0.52%,3518191
197,GHC,Graham Holdings,Services,Publishing - Newspapers,USA,5003.21,26.21,676.11,0.73%,25615
198,GILD,Gilead Sciences Inc.,Healthcare,Biotechnology,USA,121504.31,29.16,79.02,0.68%,15945798
199,GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods,USA,32371.33,19.3,52.68,-0.64%,2115294
200,GLW,Corning Inc.,Technology,Diversified Electronics,USA,29291.3,15.72,21.06,0.72%,8491659
201,GM,General Motors Company,Consumer Goods,Auto Manufacturers - Major,USA,55969.83,18.76,34.9,1.22%,19522128
202,GME,GameStop Corp.,Services,Electronics Stores,USA,4527.07,13.04,39.26,-1.06%,2235466
203,GNW,Genworth Financial Inc.,Financial,Life Insurance,USA,8906.97,15.61,17.95,0.56%,8214561
204,GOOGL,Google Inc.,Technology,Internet Information Providers,USA,358374.3,27.83,531.35,0.89%,1897903
205,GPC,Genuine Parts Company,Services,Auto Parts Wholesale,USA,13196.18,19.12,85.84,-1.47%,761913
206,GPS,Gap Inc.,Services,Apparel Stores,USA,17747.69,14.5,39.72,1.07%,4022043
207,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Cayman Islands,11067.97,18.21,56.82,-0.49%,1406729
208,GS,"The Goldman Sachs Group, Inc.",Financial,Investment Brokerage - National,USA,72081.5,10.55,160.37,0.34%,2069280
209,GT,Goodyear Tire & Rubber Co.,Consumer Goods,Rubber & Plastics,USA,6319.94,11.9,25.46,1.03%,4938157
210,GWW,"W.W. Grainger, Inc.",Services,Industrial Equipment Wholesale,USA,17295.68,22.17,252.75,-0.65%,323918
211,HAL,Halliburton Company,Basic Materials,Oil & Gas Equipment & Services,USA,53107.99,20.16,62.91,-0.25%,5100177
212,HAR,Harman International Industries Inc.,Consumer Goods,Electronic Equipment,USA,7284.32,47.34,107.47,-1.95%,3054200
213,HAS,Hasbro Inc.,Consumer Goods,Toys & Games,USA,7261.4,22.72,55.66,0.72%,711908
214,HBAN,Huntington Bancshares Incorporated,Financial,Regional - Midwest Banks,USA,7516.15,12.61,9.08,-0.87%,9491457
215,HCBK,"Hudson City Bancorp, Inc.",Financial,Savings & Loans,USA,5226.07,26.73,9.89,-0.70%,2591982
216,HCN,"Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,18397.53,702.78,63.25,0.25%,1450092
217,HCP,"HCP, Inc.",Financial,REIT - Healthcare Facilities,USA,19320.13,21.52,42.18,0.76%,2582856
218,HD,"The Home Depot, Inc.",Services,Home Improvement Stores,USA,108531.38,21.15,79.33,-0.23%,3936690
219,HES,Hess Corporation,Basic Materials,Independent Oil & Gas,USA,28013.28,7.99,88.9,-0.29%,1888198
220,HIG,Hartford Financial Services Group Inc.,Financial,Property & Casualty Insurance,USA,16258.21,66.41,35.86,-0.03%,5374277
221,HOG,"Harley-Davidson, Inc.",Consumer Goods,Recreational Vehicles,USA,16058.53,20.97,72.99,-1.28%,1488152
222,HON,Honeywell International Inc.,Industrial Goods,Diversified Machinery,USA,72234.99,18.6,92.24,-0.71%,2502486
223,HOT,Starwood Hotels & Resorts Worldwide Inc.,Services,Lodging,USA,14601.6,25.96,76.05,-0.78%,2595621
224,HP,Helmerich & Payne Inc.,Basic Materials,Oil & Gas Drilling & Exploration,USA,11347.64,15.14,105.53,-2.87%,1511561
225,HPQ,Hewlett-Packard Company,Technology,Diversified Computer Systems,USA,61856.72,11.96,32.64,-1.27%,8943806
226,HRB,"H&R Block, Inc.",Services,Personal Services,USA,7900.28,31.66,28.81,1.37%,3180662
227,HRL,Hormel Foods Corp.,Consumer Goods,Meat Products,USA,12568.56,23.45,47.61,-0.17%,402997
228,HRS,Harris Corp.,Technology,Communication Equipment,USA,7847.66,17.5,73.48,-0.05%,767359
229,HSP,Hospira Inc.,Healthcare,Drugs - Generic,USA,7605.18,,45.57,-0.50%,1380250
230,HST,Host Hotels & Resorts Inc.,Financial,REIT - Hotel/Motel,USA,16132.1,79.63,21.5,0.23%,7507669
231,HSY,Hershey Co.,Consumer Goods,Confectioners,USA,21450.53,26.6,96.04,-0.21%,1034891
232,HUM,Humana Inc.,Healthcare,Health Care Plans,USA,16929.46,14.19,109.42,-0.30%,1207029
233,IBM,International Business Machines Corp.,Technology,Information Technology Services,USA,201530.53,13.2,193.53,-1.50%,3673879
234,ICE,"IntercontinentalExchange, Inc.",Financial,Diversified Investments,USA,23650.75,51.63,205.48,0.51%,532960
235,IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,7984.27,22.96,98.28,-0.24%,428738
236,IGT,International Game Technology,Technology,Multimedia & Graphics Software,USA,3123.22,13.91,12.66,0.88%,9276015
237,INTC,Intel Corporation,Technology,Semiconductor - Broad Line,USA,131554.1,14.22,26.45,-0.90%,19634708
238,INTU,Intuit Inc.,Technology,Application Software,USA,21511.73,31.9,75.93,0.24%,1355173
239,IP,International Paper Co.,Consumer Goods,Packaging & Containers,USA,20209.01,15.29,46.03,-1.33%,3618193
240,IPG,"The Interpublic Group of Companies, Inc.",Services,Advertising Agencies,USA,7346.26,25.5,17.34,-0.46%,3557133
241,IR,Ingersoll-Rand Plc,Industrial Goods,Diversified Machinery,Ireland,16183.2,30.28,59.96,0.27%,1609831
242,IRM,Iron Mountain Inc.,Technology,Business Software & Services,USA,5429.42,56.58,28.29,-0.53%,1848107
243,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Appliances & Equipment,USA,13769.04,21.23,359.13,-0.71%,461763
244,ITW,Illinois Tool Works Inc.,Industrial Goods,Diversified Machinery,USA,35804.81,22.62,85.28,0.06%,1713797
245,IVZ,Invesco Ltd.,Financial,Asset Management,USA,15543.71,18.47,36.02,2.30%,5342723
246,JBL,Jabil Circuit Inc.,Technology,Printed Circuit Boards,USA,3551.13,14.81,17.47,1.22%,1696729
247,JCI,Johnson Controls Inc.,Consumer Goods,Auto Parts,USA,29999.52,24.03,45.18,0.09%,3703950
248,JEC,Jacobs Engineering Group Inc.,Services,Technical Services,USA,7660.75,18.26,58.08,0.66%,1790683
249,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - Major,USA,284331.01,19.22,100.53,-0.75%,6573069
250,JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices,USA,11790.9,27.37,24.91,0.89%,5829062
251,JOY,"Joy Global, Inc.",Industrial Goods,Farm & Construction Machinery,USA,5987.37,14.48,59.79,-0.98%,1112067
252,JPM,JPMorgan Chase & Co.,Financial,Money Center Banks,USA,210905.22,13.72,55.72,-0.46%,12728034
253,JWN,Nordstrom Inc.,Services,Apparel Stores,USA,11665.94,16.58,61.5,0.36%,820010
254,K,Kellogg Company,Consumer Goods,Processed & Packaged Goods,USA,23480.25,13.18,65.37,-2.18%,3984396
255,KEY,KeyCorp,Financial,Regional - Midwest Banks,USA,11972.29,13.81,13.53,-0.81%,8826861
256,KIM,Kimco Realty Corporation,Financial,REIT - Retail,USA,9445.37,47.94,23.01,0.39%,2335580
257,KLAC,KLA-Tencor Corporation,Technology,Semiconductor Equipment & Materials,USA,10481.21,19.3,62.92,-1.67%,2397528
258,KMB,Kimberly-Clark Corporation,Consumer Goods,Personal Products,USA,41910.35,19.93,111.23,-0.91%,1743677
259,KMI,"Kinder Morgan, Inc.",Basic Materials,Oil & Gas Pipelines,USA,33509.21,28.35,32.6,-0.18%,5955156
260,KMX,CarMax Inc.,Services,Auto Dealerships,USA,9860.77,20.5,44.48,1.60%,1744332
261,KO,The Coca-Cola Company,Consumer Goods,Beverages - Soft Drinks,USA,179235.44,21.69,40.78,-0.02%,15322974
262,KORS,Michael Kors Holdings Ltd.,Services,"Specialty Retail, Other",Hong Kong,18843.13,31.54,92.4,1.32%,2001283
263,KR,The Kroger Co.,Services,Grocery Stores,USA,23582.25,15.92,46.17,0.28%,3441212
264,KRFT,"Kraft Foods Group, Inc.",Consumer Goods,Food - Major Diversified,USA,33800.28,12.54,56.69,-0.30%,2664151
265,KSS,Kohl's Corp.,Services,Department Stores,USA,11520.85,13.64,55.24,0.82%,1638995
266,KSU,Kansas City Southern,Services,Railroads,USA,11002.11,32.27,99.72,-1.15%,691168
267,L,Loews Corporation,Financial,Property & Casualty Insurance,USA,17076.06,29.01,44.09,0.27%,1169087
268,LB,"L Brands, Inc.",Services,Apparel Stores,USA,15784.38,17.73,54.24,0.07%,1196028
269,LEG,"Leggett & Platt, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,4571.2,25.51,32.91,0.15%,815489
270,LEN,Lennar Corp.,Industrial Goods,Residential Construction,USA,7847.62,17.65,39.37,2.02%,2857665
271,LH,Laboratory Corp. of America Holdings,Healthcare,Medical Laboratories & Research,USA,8427.18,15.86,99.12,0.43%,780974
272,LLL,L-3 Communications Holdings Inc.,Industrial Goods,Aerospace/Defense Products & Services,USA,9917.53,13.43,114.68,-0.60%,991663
273,LLTC,Linear Technology Corp.,Technology,Semiconductor - Specialized,USA,10503.16,24.87,44.52,0.04%,2935552
274,LLY,Eli Lilly & Co.,Healthcare,Drug Manufacturers - Major,USA,66648.12,13.81,59.52,0.71%,3915851
275,LM,Legg Mason Inc.,Financial,Asset Management,USA,5539.34,23.49,46.51,-0.81%,1366418
276,LMT,Lockheed Martin Corporation,Industrial Goods,Aerospace/Defense Products & Services,USA,51685.33,18.03,162.85,-0.79%,1301700
277,LNC,Lincoln National Corp.,Financial,Life Insurance,USA,12707,10.71,48.5,-0.02%,2116362
278,LO,"Lorillard, Inc.",Consumer Goods,Cigarettes,USA,21386.24,19.34,58.99,-0.72%,5581697
279,LOW,Lowe's Companies Inc.,Services,Home Improvement Stores,USA,47240.83,21.67,46.37,1.00%,4367068
280,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,9265.83,28.74,57.2,-0.71%,1950285
281,LSI,LSI Corporation,Technology,Semiconductor - Specialized,USA,6217,50.61,11.14,-0.04%,2068487
282,LUK,Leucadia National Corp.,Consumer Goods,Meat Products,USA,9329.58,24.41,25.63,0.43%,678991
283,LUV,Southwest Airlines Co.,Services,Regional Airlines,USA,16819.82,20.45,24.33,0.66%,5751793
284,LYB,LyondellBasell Industries NV,Basic Materials,Specialty Chemicals,Netherlands,50181.29,13.61,92.42,-0.09%,2194697
285,M,"Macy's, Inc.",Services,Department Stores,USA,21008.31,14.6,56.93,-0.87%,4058002
286,MA,Mastercard Incorporated,Financial,Credit Services,USA,87034.83,28.99,74.22,0.91%,9751515
287,MAC,Macerich Co.,Financial,REIT - Retail,USA,9149.28,69.95,65.05,0.22%,600361
288,MAR,"Marriott International, Inc.",Services,Lodging,USA,17345.44,29.27,58.55,1.07%,3076172
289,MAS,Masco Corporation,Industrial Goods,General Building Materials,USA,7189.57,25.44,20.1,0.05%,8874811
290,MAT,Mattel Inc.,Consumer Goods,Toys & Games,USA,13383.15,16.08,39.39,0.43%,2941897
291,MCD,McDonald's Corp.,Services,Restaurants,USA,99845.4,18.32,100.96,-0.41%,3435693
292,MCHP,Microchip Technology Inc.,Technology,Semiconductor - Specialized,USA,9291.41,29.16,46.66,-1.85%,2081146
